,curr,temp,rpm,vibr_var,classifier
0,0.01,36.29,0.0,1.2703418172105185,2
1,0.01,36.29,0.0,0.7988182892488921,2
2,0.01,36.29,0.0,0.5776111262656105,2
3,0.01,36.25,0.0,0.6578265612273613,2
4,0.01,36.23,0.0,26.05533587855529,2
5,0.01,36.25,0.0,0.6554540496339691,2
6,0.01,36.25,0.0,127.46427597490795,2
7,0.01,36.29,0.0,302.6871011726312,2
8,0.01,36.25,0.0,679.1785337696786,2
9,0.01,36.25,0.0,1066.9211026270461,2
10,0.01,36.23,0.0,1355.207531133582,2
11,0.01,36.21,0.0,1026.4594218707775,2
12,0.1,36.21,0.0,2129.111662576185,2
13,0.85,36.23,36.0,1869.0713480593201,2
14,1.09,36.25,36.0,1999.8999136442533,2
15,1.01,36.22,252.0,1724.7426324880055,2
16,0.83,36.23,252.0,2005.8966230342812,2
17,0.73,36.25,252.0,2317.6869239159855,2
18,0.74,36.21,702.0,2326.8768611944456,2
19,0.67,36.25,702.0,2145.643282428885,2
20,0.69,36.23,1218.0,2645.994559585504,2
21,0.68,36.23,1218.0,2751.7644577765873,2
22,0.67,36.25,1218.0,2751.0454822289016,2
23,0.69,36.29,1782.0,2161.955554040562,2
24,0.68,36.24,1782.0,2234.562094355069,2
25,0.66,36.29,1782.0,2175.5735660394444,2
26,0.61,36.24,2652.0,2570.5884192346107,2
27,0.69,36.25,2652.0,2157.4897827470186,2
28,0.7,36.23,2760.0,2125.84855922184,2
29,0.71,36.25,2760.0,2053.9621125351587,2
30,0.74,36.23,2760.0,2623.5464321424597,2
31,0.73,36.28,2808.0,2577.596459412715,2
32,0.73,36.26,2808.0,2482.051522588791,2
33,0.7,36.23,2808.0,2272.8297654758103,2
34,0.69,36.25,2811.0,2631.0665303153824,2
35,0.68,36.29,2829.0,2408.025070448089,2
36,0.65,36.23,2871.0,2945.227388419171,2
37,0.68,36.25,2910.0,2736.582778838221,2
38,0.71,36.25,2910.0,2984.9727024815297,2
39,0.69,36.25,2976.0,2958.621838923646,2
40,0.72,36.29,2976.0,3200.3155394963073,2
41,0.7,36.26,3048.0,2134.175838560012,2
42,0.7,36.29,3048.0,1962.7722161620422,2
43,0.72,36.26,3120.0,2496.807376601992,2
44,0.72,36.31,3135.0,2174.926115807523,2
45,0.71,36.31,3144.0,2198.282769748095,2
46,0.75,36.29,3090.0,2881.617112080617,2
47,0.72,36.29,3087.0,3077.4810108171055,2
48,0.73,36.31,3045.0,2618.924120534398,2
49,0.74,36.31,3045.0,2862.6990591763015,2
50,0.72,36.4,3057.0,2801.6794473228124,2
51,0.74,36.39,3087.0,2489.471293518635,2
52,0.74,36.39,3087.0,2989.958040178047,2
53,0.77,36.44,3108.0,3104.2750159075144,2
54,0.72,36.41,3123.0,3032.2913871465057,2
55,0.72,36.49,3117.0,3040.32120261784,2
56,0.72,36.49,3117.0,2680.065744023151,2
57,0.71,36.53,3078.0,2401.8748568310866,2
58,0.7,36.49,3078.0,3259.63511953447,2
59,0.72,36.49,3078.0,3401.16227615657,2
60,0.71,36.53,2970.0,2733.599027361049,2
61,0.71,36.54,2970.0,2800.777015725757,2
62,0.73,36.53,2970.0,2834.9669666392842,2
63,0.65,36.55,2943.0,3295.1976683936555,2
64,0.65,36.53,2943.0,3309.313671484276,2
65,0.64,36.53,2913.0,2954.2501681663944,2
66,0.58,36.55,2913.0,2003.4818834650353,2
